epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.41751,0.59768,1.70001,1.09505,0.98968,0.86667,0.92677,0.77022,1.14407,0.5808,1.17785,0,0,0
2,13.2972,0.71916,1.3921,1.12935,0.98931,0.86667,0.92677,0.76789,1.14054,0.59124,1.17301,1.16644e-06,1.16644e-06,1.16644e-06
3,19.9477,0.72262,1.89921,1.28847,0.99008,0.86667,0.92677,0.77234,1.13807,0.5951,1.17153,2.28575e-06,2.28575e-06,2.28575e-06
4,26.9189,0.89017,1.85989,1.62551,0.99121,0.86667,0.92677,0.77627,1.1273,0.59656,1.17219,3.35794e-06,3.35794e-06,3.35794e-06
5,34.0446,0.88722,2.50743,1.4537,0.9916,0.86667,0.92677,0.79509,1.12712,0.59834,1.17166,4.38301e-06,4.38301e-06,4.38301e-06
6,40.9324,0.73401,1.44936,1.1627,0.99225,0.86667,0.92677,0.81168,1.12582,0.60616,1.1703,5.36095e-06,5.36095e-06,5.36095e-06
7,47.5535,0.70772,1.03635,1.16992,0.99246,0.86667,0.92677,0.79256,1.12595,0.61446,1.17335,6.29177e-06,6.29177e-06,6.29177e-06
8,53.8951,0.60489,1.14209,1.10599,0.99312,0.86667,0.92677,0.77606,1.12091,0.61872,1.16999,7.17546e-06,7.17546e-06,7.17546e-06
9,60.473,0.7471,1.95548,1.2019,1,0.86667,0.93,0.79431,1.11263,0.61283,1.16306,8.01203e-06,8.01203e-06,8.01203e-06
10,67.0806,0.60053,0.46079,1.01674,1,0.86667,0.93,0.79431,1.10515,0.6155,1.15967,8.80148e-06,8.80148e-06,8.80148e-06
11,73.5044,0.68324,1.17734,1.07201,1,0.86667,0.93,0.79431,1.10069,0.62008,1.16146,9.5438e-06,9.5438e-06,9.5438e-06
12,80.0195,0.7415,0.67394,1.18675,1,0.88333,0.93833,0.79001,1.09577,0.61845,1.16155,1.0239e-05,1.0239e-05,1.0239e-05
13,86.5493,0.69338,0.51119,1.22619,1,0.88333,0.93833,0.79001,1.10009,0.62679,1.16206,1.08871e-05,1.08871e-05,1.08871e-05
14,93.2347,0.61498,0.62346,1.07037,1,0.88333,0.93833,0.79814,1.09489,0.62992,1.16188,1.1488e-05,1.1488e-05,1.1488e-05
15,99.7558,0.65606,0.48968,1.16841,1,0.88333,0.93833,0.79814,1.09206,0.63364,1.16415,1.20418e-05,1.20418e-05,1.20418e-05
16,106.523,0.75445,0.62017,1.33636,1,0.88333,0.93833,0.79958,1.07632,0.63022,1.15532,1.25486e-05,1.25486e-05,1.25486e-05
17,113.356,0.77866,0.55442,1.33552,1,0.88333,0.93833,0.80927,1.06064,0.62714,1.1462,1.30081e-05,1.30081e-05,1.30081e-05
18,120.13,0.61968,0.45517,1.08521,1,0.88333,0.93833,0.80927,1.06064,0.62714,1.1462,1.34206e-05,1.34206e-05,1.34206e-05
19,127.213,0.60333,0.44513,1.10329,1,0.88333,0.93833,0.80927,1.06107,0.64799,1.14909,1.37859e-05,1.37859e-05,1.37859e-05
20,134.082,0.66937,0.45068,1.09976,1,0.88333,0.93833,0.80927,1.06107,0.64799,1.14909,1.41041e-05,1.41041e-05,1.41041e-05
21,140.735,0.6856,0.8759,1.22745,0.94444,0.88333,0.93833,0.80573,1.0959,0.68014,1.16928,1.43752e-05,1.43752e-05,1.43752e-05
22,147.267,0.56034,0.33455,1.21527,0.94444,0.88333,0.93833,0.80573,1.0959,0.68014,1.16928,1.45992e-05,1.45992e-05,1.45992e-05
23,153.906,0.56844,0.47633,1.02849,0.94444,0.88333,0.93833,0.79091,1.09605,0.6958,1.17533,1.4776e-05,1.4776e-05,1.4776e-05
24,160.361,0.54547,0.35269,1.02427,0.94444,0.88333,0.93833,0.79091,1.09605,0.6958,1.17533,1.49057e-05,1.49057e-05,1.49057e-05
25,166.783,0.67755,0.80566,1.24178,0.94444,0.86667,0.93,0.79152,1.10243,0.70085,1.18362,1.49883e-05,1.49883e-05,1.49883e-05
26,173.163,0.69097,0.59924,1.27373,0.94444,0.86667,0.93,0.79152,1.10243,0.70085,1.18362,1.50238e-05,1.50238e-05,1.50238e-05
27,179.782,0.55168,0.5328,1.09492,0.94444,0.86667,0.93,0.76383,1.11391,0.73313,1.18946,1.50121e-05,1.50121e-05,1.50121e-05
28,186.291,0.57277,0.47178,1.09183,0.94444,0.86667,0.93,0.76383,1.11391,0.73313,1.18946,1.49533e-05,1.49533e-05,1.49533e-05
